City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Tual,ID,-5.6667,132.75,83.48,74,100,4.81,light rain
150,Ancud,CL,-41.8697,-73.8203,59.23,81,22,2.57,few clouds
151,Port Elizabeth,ZA,-33.918,25.5701,62.89,82,20,9.22,few clouds
152,San Patricio,US,28.017,-97.5169,91.49,61,92,15.97,overcast clouds
153,Bathsheba,BB,13.2167,-59.5167,81.21,69,40,16.11,scattered clouds
154,Ushumun,RU,52.7833,126.5333,27.16,69,13,9.37,few clouds
155,Alofi,NU,-19.0595,-169.9187,84.09,79,28,5.75,scattered clouds
156,Kodiak,US,57.79,-152.4072,40.51,81,100,18.41,light rain
157,Puri,IN,19.8,85.85,77.52,84,60,22.62,light rain
158,Laguna,US,38.421,-121.4238,70.92,61,40,14.97,scattered clouds
159,Takapau,NZ,-40.0333,176.35,58.73,70,67,5.97,broken clouds
160,Kamaishi,JP,39.2667,141.8833,45.07,64,2,4.5,clear sky
161,Thompson,CA,55.7435,-97.8558,26.76,39,75,5.75,broken clouds
162,Escanaba,US,45.7453,-87.0646,32.31,64,75,12.66,broken clouds
163,Tabou,CI,4.423,-7.3528,79.56,81,99,6.44,light rain
164,Chicama,PE,-7.8447,-79.1469,63.14,69,51,10.2,broken clouds
165,Narsaq,GL,60.9167,-46.05,37.62,81,5,3.11,clear sky
166,San Quintin,MX,30.4833,-115.95,65.77,64,0,21.74,clear sky
167,Airai,TL,-8.9266,125.4092,59.38,91,57,2.3,broken clouds
168,Kudahuvadhoo,MV,2.6708,72.8944,82.78,76,87,8.12,overcast clouds
169,Paamiut,GL,61.994,-49.6678,25.16,81,9,12.3,clear sky
170,Acarau,BR,-2.8856,-40.12,79.59,82,49,7.56,scattered clouds
171,Codrington,AU,-38.2667,141.9667,68.41,41,100,20.85,overcast clouds
172,Tallahassee,US,30.4383,-84.2807,80.8,64,100,3.44,overcast clouds
173,Ambon,ID,-3.6954,128.1814,77.14,94,20,5.75,few clouds
174,Nanortalik,GL,60.1432,-45.2371,29.68,87,7,10.89,clear sky
175,Ribeira Grande,PT,38.5167,-28.7,60.37,77,26,16.17,scattered clouds
176,Zandak,RU,43.0572,46.4567,43.92,79,9,3.36,clear sky
177,Pisco,PE,-13.7,-76.2167,68.05,73,0,24.16,clear sky
178,Hornepayne,CA,49.2138,-84.7705,29.89,79,100,11.18,light snow
179,Vila Velha,BR,-20.3297,-40.2925,76.95,78,75,9.22,broken clouds
180,Concarneau,FR,47.875,-3.9225,57.99,84,92,3.8,overcast clouds
181,Kholtoson,RU,50.2981,103.3097,24.67,84,14,3.56,few clouds
182,Lebu,CL,-37.6167,-73.65,55.89,83,21,13.13,few clouds
183,Muravlenko,RU,63.7898,74.523,14.99,94,99,14.25,overcast clouds
184,Port Hardy,CA,50.6996,-127.4199,50.18,57,20,13.8,few clouds
185,Maningrida,AU,-12.0667,134.2667,76.15,85,93,8.84,overcast clouds
186,Klaksvik,FO,62.2266,-6.589,47.32,92,100,20.42,overcast clouds
187,Dongfeng,CN,42.6403,125.5118,44.76,45,18,6.96,few clouds
188,Papara,BR,-3.9839,-38.7273,81.0,95,77,2.3,broken clouds
189,Carutapera,BR,-1.195,-46.02,77.49,92,98,5.19,light rain
190,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,88,20,8.34,few clouds
191,Coria,ES,39.9879,-6.5377,66.45,60,13,2.01,few clouds
192,Bucerias,MX,20.75,-105.3333,78.78,73,40,11.5,scattered clouds
193,Ahipara,NZ,-35.1667,173.1667,67.77,71,100,13.94,overcast clouds
194,Swellendam,ZA,-34.0226,20.4417,55.69,85,0,6.53,clear sky
195,Provideniya,RU,64.3833,-173.3,31.98,91,92,12.48,overcast clouds
196,Odesskoye,RU,54.2111,72.9651,52.38,59,97,7.92,overcast clouds
197,Sosva,RU,59.1766,61.8558,27.59,84,17,9.64,few clouds
198,Mahebourg,MU,-20.4081,57.7,79.09,83,75,8.05,broken clouds
199,Pangnirtung,CA,66.1451,-65.7125,6.58,92,100,1.86,overcast clouds
200,Namibe,AO,-15.1961,12.1522,73.63,74,28,6.38,scattered clouds
201,Birao,CF,10.2849,22.7882,85.91,31,85,3.33,overcast clouds
202,Estevan,CA,49.1334,-102.9842,25.21,63,0,5.75,clear sky
203,Darlowo,PL,54.421,16.4107,39.31,60,89,4.56,overcast clouds
204,Milkovo,RU,54.7167,158.6167,26.87,65,82,5.88,broken clouds
205,Kingaroy,AU,-26.5333,151.8333,61.47,78,11,7.72,few clouds
206,East London,ZA,-33.0153,27.9116,61.95,79,100,7.7,light rain
207,Solnechnyy,RU,50.7214,136.6319,27.19,93,100,7.78,snow
208,Ghanzi,BW,-21.5667,21.7833,65.46,79,27,9.95,scattered clouds
209,Bodajk,HU,47.3235,18.2331,46.31,84,98,2.21,overcast clouds
210,Hamilton,US,39.1834,-84.5333,62.89,39,40,14.0,scattered clouds
211,Kruisfontein,ZA,-34.0033,24.7314,59.88,86,97,5.73,light rain
212,Saint George,US,37.1041,-113.5841,79.39,13,100,42.57,haze
213,Vardo,NO,70.3705,31.1107,39.16,84,100,26.8,overcast clouds
214,Ternate,ID,0.8,127.4,80.31,81,97,6.69,overcast clouds
215,Hasaki,JP,35.7333,140.8333,48.6,58,100,9.01,overcast clouds
216,Deneysville,ZA,-26.8908,28.0971,52.61,93,100,11.79,light rain
217,Asau,RO,46.4333,26.4,41.95,93,100,7.02,overcast clouds
218,Altamira,BR,-3.2033,-52.2064,75.36,95,84,2.13,broken clouds
219,Westport,US,41.1415,-73.3579,63.0,74,100,11.5,overcast clouds
220,Chuy,UY,-33.6971,-53.4616,59.99,77,50,6.17,scattered clouds
221,High Prairie,CA,55.4334,-116.4858,33.93,55,100,7.16,overcast clouds
222,Qaqortoq,GL,60.7167,-46.0333,30.15,79,6,4.36,clear sky
223,Karratha,AU,-20.7377,116.8463,81.77,46,34,3.65,scattered clouds
224,Souillac,MU,-20.5167,57.5167,79.18,83,75,8.05,light rain
225,Bakchar,RU,57.0186,82.0711,44.22,82,89,5.84,overcast clouds
226,Adrar,MR,20.5022,-10.0711,81.7,12,0,12.5,clear sky
227,Diu,IN,20.7141,70.9822,77.65,74,0,10.45,clear sky
228,Iqaluit,CA,63.7506,-68.5145,10.13,78,75,0.0,broken clouds
229,Ola,RU,59.5833,151.2833,19.15,70,9,6.64,clear sky
230,Saint-Augustin,CA,51.226,-58.6502,32.99,98,100,11.72,overcast clouds
231,Portland,US,45.5234,-122.6762,54.77,67,100,13.0,overcast clouds
232,Namtsy,RU,62.7161,129.6658,9.39,96,86,3.94,overcast clouds
233,Ewa Beach,US,21.3156,-158.0072,82.35,66,20,18.41,few clouds
234,Naica,MX,27.85,-105.4833,88.25,7,100,3.42,overcast clouds
235,Svetlyy,RU,54.675,20.1347,37.45,86,80,8.12,broken clouds
236,College,US,64.8569,-147.8028,33.75,33,20,12.66,few clouds
237,Abha,SA,18.2164,42.5053,66.02,34,6,6.91,clear sky
238,Obidos,BR,-1.9175,-55.5181,75.51,94,100,1.68,overcast clouds
239,Broome,US,42.2506,-75.833,42.89,79,100,5.75,overcast clouds
240,Sambava,MG,-14.2667,50.1667,74.75,88,4,10.54,clear sky
241,Bengkulu,ID,-3.8004,102.2655,76.89,88,100,3.49,overcast clouds
242,Moosomin,CA,50.1333,-101.6677,25.84,64,100,4.63,overcast clouds
243,Tamandare,BR,-8.7597,-35.1047,81.16,83,7,9.89,clear sky
244,Severnoye,RU,56.3491,78.3619,48.33,80,100,6.91,overcast clouds
245,Keetmanshoop,NA,-26.5833,18.1333,67.53,44,0,9.98,clear sky
246,Nelson Bay,AU,-32.7167,152.15,64.0,90,0,3.22,clear sky
247,Lexington,US,37.9887,-84.4777,66.2,55,75,8.05,broken clouds
248,Holoby,UA,51.0865,25.0077,37.06,82,12,10.0,few clouds
249,Honningsvag,NO,70.9821,25.9704,38.95,87,100,33.38,overcast clouds
250,Opuwo,NA,-18.0607,13.84,71.69,42,57,3.56,broken clouds
251,Cayenne,GF,4.9333,-52.3333,82.09,1,40,8.05,scattered clouds
252,Naze,JP,28.3667,129.4833,61.72,66,85,7.0,overcast clouds
253,Tilichiki,RU,60.4667,166.1,28.54,86,97,5.03,overcast clouds
254,Nouadhibou,MR,20.931,-17.0347,64.38,94,75,14.97,broken clouds
255,Iwanai,JP,42.9744,140.5089,44.53,70,99,6.06,overcast clouds
256,Hualmay,PE,-11.0964,-77.6139,69.22,77,99,12.66,overcast clouds
257,Saint-Joseph,RE,-21.3667,55.6167,72.21,79,28,11.72,scattered clouds
258,Saint Anthony,US,45.0205,-93.218,43.34,35,0,16.11,clear sky
259,Bubaque,GW,11.2833,-15.8333,75.7,72,6,24.18,clear sky
260,Vitina,BA,43.2375,17.4839,60.37,68,90,8.21,overcast clouds
261,Beira,MZ,-19.8436,34.8389,80.69,83,40,11.5,scattered clouds
262,Fortuna,US,40.5982,-124.1573,55.92,58,20,12.66,few clouds
263,Kushnarenkovo,RU,55.105,55.3508,32.16,81,32,2.57,scattered clouds
264,San Rafael Del Sur,NI,11.8485,-86.4384,94.17,29,44,8.99,scattered clouds
265,Muros,ES,42.7762,-9.0603,55.69,89,98,6.13,overcast clouds
266,Glenwood Springs,US,39.5505,-107.3248,63.52,41,100,11.5,overcast clouds
267,Nome,US,64.5011,-165.4064,34.16,69,100,25.32,overcast clouds
268,Paita,PE,-5.0892,-81.1144,71.44,74,20,19.01,few clouds
269,Sistranda,NO,63.7256,8.834,39.16,86,100,3.42,overcast clouds
270,Barrow,US,71.2906,-156.7887,6.82,72,0,21.85,clear sky
271,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,51,0,4.47,clear sky
272,Olafsvik,IS,64.8945,-23.7142,43.86,97,100,11.34,light rain
273,Vicuna,CL,-30.0319,-70.7081,74.77,36,0,4.76,clear sky
274,Kalach-Na-Donu,RU,48.691,43.5264,54.03,65,99,6.24,overcast clouds
275,Huejuquilla El Alto,MX,22.6,-103.8667,89.2,8,93,16.26,overcast clouds
276,Yulara,AU,-25.2406,130.9889,69.64,52,7,11.5,clear sky
277,Tazmalt,DZ,36.3868,4.3989,53.69,75,0,4.21,clear sky
278,Owase,JP,34.0667,136.2,55.56,61,100,4.83,overcast clouds
279,Robertsport,LR,6.7533,-11.3686,79.99,88,90,10.45,overcast clouds
280,Mangan,IN,27.5167,88.5333,63.28,55,19,8.77,few clouds
281,Huarmey,PE,-10.0681,-78.1522,70.7,75,76,12.53,broken clouds
282,Puerto Quijarro,BO,-17.7833,-57.7667,80.55,50,1,3.67,clear sky
283,Conop,RO,46.1,21.8833,42.4,87,95,9.55,overcast clouds
284,Tura,IN,25.5198,90.2201,70.18,85,28,7.61,scattered clouds
285,Lichuan,CN,30.3,108.85,40.53,97,100,1.63,overcast clouds
286,Lira,UG,2.235,32.9097,63.46,96,98,2.98,overcast clouds
287,Noumea,NC,-22.2763,166.4572,80.58,99,0,7.58,clear sky
288,Linxia,CN,35.6003,103.2064,36.21,94,100,5.57,overcast clouds
289,Chilca,PE,-12.5211,-76.7372,67.59,81,24,9.78,few clouds
290,Sabya,SA,17.1495,42.6254,82.02,69,56,5.64,broken clouds
291,Warri,NG,5.5167,5.75,78.67,85,93,4.0,overcast clouds
292,Kavieng,PG,-2.5744,150.7967,82.89,75,43,8.41,scattered clouds
293,Goderich,CA,43.7501,-81.7165,35.91,64,50,8.05,scattered clouds
294,Panjab,AF,34.388,67.0233,52.05,38,99,3.31,overcast clouds
295,Northam,GB,51.0333,-4.2167,55.38,58,99,9.26,overcast clouds
296,Weligama,LK,5.9667,80.4167,79.5,84,76,3.53,broken clouds
297,Puerto Escondido,MX,15.85,-97.0667,88.63,66,40,8.05,scattered clouds
298,Birur,IN,13.6167,75.9667,72.88,69,72,4.38,broken clouds
299,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,0,11.5,clear sky
300,Itoman,JP,26.1247,127.6694,68.02,64,75,5.75,broken clouds
301,Hoopstad,ZA,-27.8327,25.9083,56.35,90,99,8.59,moderate rain
302,Meadow Lake,US,34.8014,-106.5436,80.78,4,33,15.28,scattered clouds
303,Pokaran,IN,26.9167,71.9167,81.23,35,15,9.44,few clouds
304,Ahuimanu,US,21.4447,-157.8378,82.11,78,100,18.41,light rain
305,Yatou,CN,37.15,122.3833,49.32,31,0,6.11,clear sky
306,Innisfail,AU,-17.5333,146.0333,74.28,86,100,2.55,overcast clouds
307,Saldanha,ZA,-33.0117,17.9442,60.85,61,0,11.88,clear sky
308,Lanzhou,CN,36.0564,103.7922,39.34,75,100,3.98,overcast clouds
309,Rabo De Peixe,PT,37.8,-25.5833,60.31,88,20,11.5,few clouds
310,Talnakh,RU,69.4865,88.3972,16.03,94,100,9.4,overcast clouds
311,Geraldton,AU,-28.7667,114.6,66.61,77,100,16.11,overcast clouds
312,Kaeo,NZ,-35.1,173.7833,64.33,95,100,15.75,overcast clouds
313,Teknaf,BD,20.8624,92.3058,77.41,92,43,3.71,scattered clouds
314,Taikang,CN,46.8333,124.4167,36.86,37,54,6.73,broken clouds
315,Kursenai,LT,55.985,22.9189,30.45,73,97,6.44,overcast clouds
316,Omboue,GA,-1.5746,9.2618,78.12,90,100,3.96,light rain
317,Kormilovka,RU,55.0026,74.1028,50.0,60,100,8.32,overcast clouds
318,Palampur,IN,32.1167,76.5333,61.21,40,6,9.6,clear sky
319,Panzhihua,CN,26.5851,101.7128,66.88,48,100,1.66,overcast clouds
320,Bogale,MM,16.2833,95.4,79.48,81,20,4.76,few clouds
321,Praia,CV,14.9215,-23.5087,70.34,73,40,12.66,scattered clouds
322,Sinegorye,RU,62.0788,150.477,11.66,93,98,3.22,overcast clouds
323,Key West,US,24.5557,-81.7826,86.0,66,40,14.97,scattered clouds
324,Cabo San Lucas,MX,22.8909,-109.9124,88.9,17,75,8.05,broken clouds
325,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,11.5,clear sky
326,Dedza,MW,-14.3779,34.3332,58.73,92,28,3.65,scattered clouds
327,Chapais,CA,49.7834,-74.8492,33.58,73,100,9.48,overcast clouds
328,Bajil,YE,15.0584,43.2851,83.19,53,20,5.17,few clouds
329,Ilo,PE,-17.6394,-71.3375,66.22,76,47,5.28,scattered clouds
