City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Birur,IN,72.88,broken clouds,13.6167,75.9667,Birur
302,Meadow Lake,US,80.78,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
303,Pokaran,IN,81.23,few clouds,26.9167,71.9167,Motel Pokaran - RTDC
304,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
306,Innisfail,AU,74.28,overcast clouds,-17.5333,146.0333,Moondarra Motel
313,Teknaf,BD,77.41,scattered clouds,20.8624,92.3058,Forestry Guesthouse
316,Omboue,GA,78.12,light rain,-1.5746,9.2618,Hotel Olako
320,Bogale,MM,79.48,few clouds,16.2833,95.4,Aung Pin Lel Guest House
321,Praia,CV,70.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
323,Key West,US,86.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
324,Cabo San Lucas,MX,88.9,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
325,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
328,Bajil,YE,83.19,few clouds,15.0584,43.2851,فندق حضرموت
332,Bagli,IN,82.99,clear sky,22.65,76.35,Yash carpenter
333,Russell,US,73.0,few clouds,32.3502,-85.1999,Macs
336,Luanda,AO,76.98,moderate rain,-8.8368,13.2343,EPIC SANA Luanda
338,Mayumba,GA,77.9,scattered clouds,-3.432,10.6554,LIKWALE LODGE
342,Jalu,LY,75.97,broken clouds,29.0331,21.5482,صاحبة الفخامة
345,Vao,NC,76.6,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
346,Alta Floresta,BR,74.46,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
347,Keti Bandar,PK,79.57,few clouds,24.1447,67.4497,Haji laloo memon house
354,Hobyo,SO,82.45,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
361,Inhambane,MZ,73.06,light rain,-23.865,35.3833,Oceano
364,Xuddur,SO,80.1,overcast clouds,4.1213,43.8894,Banjanay Hotel
367,Kununurra,AU,75.18,few clouds,-15.7667,128.7333,Hotel Kununurra
368,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
374,Khadro,PK,86.34,scattered clouds,26.1472,68.7176,Bismillah Hotal bus stop Khadro
379,Bandarbeyla,SO,81.28,scattered clouds,9.4942,50.8122,JABIR HOTEL
385,Pontian Kecil,MY,79.12,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
394,Kavaratti,IN,83.53,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
395,Sulangan,PH,81.1,broken clouds,11.1373,123.7228,Maia's Beach Resort
397,Tamiahua,MX,84.74,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
398,Carnarvon,AU,73.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
400,Nuevo Progreso,MX,86.54,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
